,item,label,sentence,wikidata
34,Q6745676,0.0,"He received a Ph.D. in physics in 1969 from Yerevan State University, where he became professor of astrophysics.",educated at Yerevan State University
36,Q12100652,0.0,"Early life and education
Born on September 22, 1965, in Spasiv, near Pervyatychi, Lviv region, Deshchytsia graduated from Ivan Franko Lviv National University (1989), University of Alberta (Edmonton, Alberta, Canada) (1995).",educated at Lviv University
39,Q291102,0.0,Her restaurateur father co-owns businesses around Boston.,educated at Boston University
40,Q291102,0.0,"Culpo attended St. Mary Academy – Bay View, and later, Boston University, but didn't graduate.",educated at Boston University
41,Q291102,0.0,"She attended the Brevard Music Center, in Brevard, North Carolina, for two summers, and has performed with the Boston Accompanietta.",educated at Boston University
43,Q22443064,0.0,He began composing music while he was a university student at the Tokyo University of Agriculture and Technology.,educated at Tokyo University of Agriculture and Technology
44,Q311786,0.0,"In college at Stanford University, Fossett was already known as an adventurer; his Sigma Alpha Epsilon fraternity brothers convinced him to swim to Alcatraz and raise a banner that read ""Beat Cal"" on the wall of the prison, closed two years previously.",educated at Stanford University
46,Q16908132,0.0,"In 1981, he was accepted to Shanghai Conservatory of Music, he studied music under Tan Bingruo () and Zhou Xiaoyan ().",educated at Shanghai Conservatory of Music
49,Q336771,0.0,"He was educated at Glenalmond, Eton and Balliol College, Oxford.",educated at Balliol College
50,Q336771,0.0,His administration in India was otherwise notable for the Afridi frontier risings of 1897–1898.,educated at Balliol College
51,Q336771,0.0,"That view was by no means extreme: Maj-Gen J.P. Brabazon thought sword and lance were suitable only for ""Latin"" cavalry, and that ""Anglo-Saxons"" should instead be equipped with ""a light battleaxe or tomahawk"".",educated at Balliol College
52,Q336771,0.0,"After Wolseley, Evelyn Wood and Roberts (all of whom had seen the future of cavalry as being for use as mounted infantry only) had retired, the traditional view was reestablished as French and his protégé Major-General Haig rose to the top of the Army.Reid 2006, p107-8, 112 The recommendations of the Commission were never fully implemented.",educated at Balliol College
53,Q336771,0.0,"Colonial Secretary
When the Liberals returned to power in 1905, Elgin became Secretary of State for the Colonies (with Winston Churchill as his Under-Secretary).",educated at Balliol College
54,Q336771,0.0,"In July 1902, he received the freedom of the city of St Andrews ""in recognition of his devotion to the public service, whether holding the exalted position of Viceroy of India, where he watched over the interests of a vast Empire with remarkable skill, prudence, and success, or discharging the duties connected with county government and giving his time and wide experience as Chairman of the Carnegie Trust for the advancement of education in Scotland"".",educated at Balliol College
56,Q7273633,0.0,"Dr. Ferguson's post-graduate work included training at the London Hospital in England, and at Harvard School of Medicine, Harvard University.",educated at Harvard University
57,Q5112461,0.0,"He was educated at Churchill College, Cambridge and the University of Manchester.",educated at University of Cambridge
58,Q5112461,0.0,"Works
Reformation and Resistance in Tudor Lancashire, Cambridge University Press, 1975
The English Reformation Revised, Cambridge University Press, 1987
English Reformations: Religion, Politics and Society under the Tudors, Oxford University Press, 1993
Politics in an Age of Peace and War, 1570-1630 in The Oxford Illustrated History of Tudor and Stuart Britain, Oxford, 1996, pp.",educated at University of Cambridge
59,Q5112461,0.0,"He was educated at Churchill College, Cambridge and the University of Manchester.",educated at University of Manchester
60,Q309816,0.0,In 1965 he graduated from the University of Sheffield with a Bachelor of Science degree in Chemistry followed by a PhD in 1969.,educated at University of Sheffield
61,Q309816,0.0,"In 2005, a multimillion-pound expansion to the chemistry department at the University of Sheffield, where he had been a student, was named after him.",educated at University of Sheffield
64,Q71361,0.0,He studied philosophy and Catholic theology at the Wilhelms University of Münster and the Albert-Ludwigs-University of Freiburg.,educated at University of Münster
65,Q71361,0.0,"From 1990 to 1996 he was vicar and chaplain at St. Paul's Cathedral in Münster, before receiving a teaching appointment at the University of Münster.",educated at University of Münster
66,Q717203,0.0,"She has been an anchor and reporter for the U.S. television news networks NBC, CBS, ABC, CNN, and MSNBC.",educated at University of Maryland
67,Q717203,0.0,"Some of her more famous interview subjects include Claus von Bülow and U.S. Representative Gary Condit, whom Chung interviewed first after the Chandra Levy disappearance,  and basketball legend Magic Johnson after he went public about being HIV-positive.",educated at University of Maryland
68,Q717203,0.0,"She graduated from Montgomery Blair High School in Silver Spring, Maryland, and went on to receive a degree in journalism at the University of Maryland, College Park, in 1969.",educated at University of Maryland
69,Q717203,0.0,"Martina Navratilova interview 
In July 2002, Chung interviewed tennis player Martina Navratilova, who at that time had been a naturalized U.S. citizen for more than 20 years, about her recent criticisms of the U.S. political system.",educated at University of Maryland
70,Q717203,0.0,"Some of her more famous interview subjects include Claus von Bülow and U.S. Representative Gary Condit, whom Chung interviewed first after the Chandra Levy disappearance.",educated at University of Maryland
72,Q717203,0.0,"She graduated from Montgomery Blair High School in Silver Spring, Maryland, and went on to receive a degree in journalism at the University of Maryland, College Park, in 1969.",educated at Montgomery Blair High School
73,Q225283,0.0,"Education 
Leibovitz attended the San Francisco Art Institute, where she studied painting with the intention of becoming an art teacher.",educated at San Francisco Art Institute
75,Q553349,0.0,"He attended Roosevelt Elementary, Hughes Junior High, and Wheelus Air Base high school in Tripoli, Libya, before eventually graduating from Phillips Exeter Academy.",educated at Phillips Exeter Academy
78,Q2524302,0.0,"Harper graduated from high school early so that he could attend the College of Southern Nevada, where he won the 2010 Golden Spikes Award.",educated at College of Southern Nevada
79,Q2524302,0.0,"For the 2010 college season, 17-year-old Harper enrolled at the College of Southern Nevada of the Scenic West Athletic Conference (SWAC) in the National Junior College Athletic Association (NJCAA), where he played as a catcher.",educated at College of Southern Nevada
80,Q4913773,0.0,"in electrical engineering and PhD (highest honors) in bioelectrical engineering from the Tokyo Institute of Technology.Biography of Bin He

Bin He completed his postdoctoral fellowship at Harvard-MIT Division of Health Sciences and Technology in the United States.",educated at Tokyo Institute of Technology
82,Q935436,0.0,"Biography

George Alexander Kelly was born in 1905 on a farm near Perth, Sumner County, Kansas to two strictly religious parents.",educated at University of Kansas
83,Q935436,0.0,"Early on, he was interested in social problems, and he went on to get his masters degree in sociology at the University of Kansas, where he wrote a thesis on workers' leisure activities.",educated at University of Kansas
84,Q935436,0.0,"After he received his Ph.D in Psychology, Kelly worked as a psychotherapist in Kansas.Benjafield, J.",educated at University of Kansas
87,Q10855140,0.0,Kang was enrolled in the Seoul National University school of law from March 2005 to 2007 but did not complete his studies.,educated at Seoul National University
89,Q13560796,0.0,Sanghvi pursued her bachelor's and master's degrees in electrical computer engineering from Carnegie Mellon University.,educated at Carnegie Mellon University
90,Q13560796,0.0,"Career 
Facebook
After graduating from Carnegie Mellon University in 2004, Sanghvi initially planned to work in New York City, but says that she was horrified by the small cubicle size.",educated at Carnegie Mellon University
91,Q13560796,0.0,"Personal life
Sanghvi is married to Aditya Agarwal, who was her colleague at Carnegie Mellon University and later at Facebook, Cove, and Dropbox.",educated at Carnegie Mellon University
93,Q8053556,0.0,"Yifa holds a law degree from the National Taiwan University, a masters in comparative philosophy from the University of Hawaii, and a doctorate in religious studies from Yale University.",educated at National Taiwan University
95,Q11411204,0.0,He moved to the United States at the age of sixteen during his high school years and returned to Japan to study Engineering at Keio University.,educated at Keio University
97,Q5334646,0.0,He received a law degree from Southwestern University School of Law.,educated at Southwestern Law School
102,Q602912,0.0,"He went on to study literature and chemistry at the University of Santo Tomas, where he won first prize for a paper in chemistry titled Two Fundamental Bodies of Chemistry (Dos Cuerpos Fundamentales de la Quimica).",educated at University of Santo Tomas
103,Q602912,0.0,"Two days later, in response to the incident, the US Senate voted for annexation.",educated at University of Santo Tomas
104,Q602912,0.0,"The Filipinos were subjected to a carefully planned attack with naval artillery, with Dewey's US fleet firing from the Manila Bay.",educated at University of Santo Tomas
105,Q602912,0.0,"Containing five specific objects, it began ""by virtue of the barbarous attack upon our army on February 4"", and ended with ""war without quarter to false Americans who wish to enslave us.",educated at University of Santo Tomas
106,Q602912,0.0,"The order labeled the US forces ""an army of drunkards and thieves"" in response to the continued bombardment of the towns around Manila, the burning and looting of whole districts, and the raping of Filipino women by US troops.",educated at University of Santo Tomas
108,Q11426093,0.0,"Shiroyama was born in Aichi Prefecture, and studied economics at Hitotsubashi University.",educated at Hitotsubashi University
109,Q352953,0.0,"Hayden then attended the University of Michigan, where he was editor of the Michigan Daily.",educated at University of Michigan
110,Q352953,0.0,"Los Angeles Times https://www.latimes.com/local/obituaries/la-me-tom-hayden-snap-story.html

Hayden was later to suggest that if ERAP across the country had failed to build to greater success (the promised ""interracial movement of the poor"") it was because of the escalating U.S. commitment in Vietnam: ""Once again the government met an internal crisis by starting an external crisis.",educated at University of Michigan
111,Q352953,0.0,"The demonstrations were broken up by what was later called by the U.S. National Commission on the Causes and Prevention of Violence ""a police riot"".",educated at University of Michigan
112,Q352953,0.0,"denied, 410 U.S. 970, 93 S.Ct.",educated at University of Michigan
113,Q352953,0.0,"The IPC, operating in Boston, New York, Detroit and Santa Clara, mobilized dissent against the Vietnam War and demanded unconditional amnesty for U.S. draft evaders, among other aims.",educated at University of Michigan
114,Q352953,0.0,"Career in electoral politics 
During 1976, Hayden made a primary election challenge to California U.S.",educated at University of Michigan
115,Q352953,0.0,"During this time, he was frequently protested by conservative groups, including Vietnamese refugees, veterans of the U.S. military and Young Americans for Freedom.",educated at University of Michigan
116,Q352953,0.0,"""http://america.aljazeera.com/articles/2014/9/18/tom-hayden-archivesuniversitymichigan.htmlhttp://tomhayden.com/biography/

Academic career
Hayden was a teaching assistant at the University of Michigan Journalism Department in the early 1960s.",educated at University of Michigan
118,Q1938029,0.0,"He went on to earn MS (1901) and PhD (1903) degrees from Cornell University in Ithaca, New York, staying two years beyond his doctoral time by working as a Research Fellow with support from the Carnegie Institution.",educated at Cornell University
119,Q1938029,0.0,"Infrared studies

thumb|Spectrometer used at Cornell University by W. W. Coblentz

When Coblentz entered Cornell University, infrared spectroscopy was in what today would be considered an extremely primitive state.",educated at Cornell University
121,Q122014,0.0,Rose received in 1964 his physics Diplom in theoretical electron optics under Otto Scherzer at the Technische Universität Darmstadt.,educated at Technische Universität Darmstadt
123,Q6418620,0.0,"Life and career
Yuen studied at the Sacred Heart Canossian College and the Hong Kong Polytechnic University Design Department.",educated at Hong Kong Polytechnic University
124,Q6538,0.0,In 1953 he moved to West Berlin and studied at the Berlin University of the Arts.,educated at Berlin University of the Arts
125,Q2877735,0.0,"Zhou also acquired a doctorate from the University at Buffalo, The State University of New York (PhD, '84, M.S.",educated at University at Buffalo
128,Q4665485,0.0,He graduated from the University of Malaya with a Bachelor's Degree in Economics and later obtained an MBA from the University of Queensland.,educated at University of Malaya
132,Q2531083,0.0,"Biography
Swanson grew up in Waterman, Illinois and attended Illinois Wesleyan University for a brief time before transferring to the University of Iowa.",educated at University of Iowa
134,Q710724,0.0,"He earned a degree in Computer Science & Engineering in Shanghai Jiao Tong University, which due to his background in computers he found ""quite easy"", but describes himself as spending much of his time there teaching himself digital art and animation, and later did a minor in digital art and design at Donghua University.",educated at Shanghai Jiao Tong University
136,Q710724,0.0,Chen went to the United States to earn a master's degree in the School of Cinematic Arts at the University of Southern California.,educated at University of Southern California
137,Q449689,0.0,"He completed a Juris Doctor at the George Washington University Law School in 1967 and then worked at the Washington, DC law firm of Wheeler & Wheeler from 1967 to 1972.",educated at George Washington University
138,Q449689,0.0,"Public service during the Nixon-Ford period

In 1972 Snow left Wheeler & Wheeler and took up a position as Assistant Professor of Law at the George Washington University Law School.",educated at George Washington University
140,Q579911,0.0,"Education
Stephen Mosley was educated at King Edward's School in Birmingham before reading Chemistry at the University of Nottingham.",educated at King Edward's School
142,Q333911,0.0,"After graduating from St. Peter's Preparatory School in Jersey City, New Jersey, in 1903, Durant enrolled at Saint Peter's College (now University) also in Jersey City.",educated at Saint Peter's University
144,Q63263,0.0,He studied law at Panthéon-Assas University and later graduated from ESCP Europe business school.,educated at Panthéon-Assas University
146,Q366456,0.0,"After receiving a doctorate (doctorat d'état) in sociology from the Institut d'Études Politiques de Paris (commonly known as Sciences Po), Dion worked briefly as a teaching assistant at the Université de Moncton in 1984 before moving on to the Université de Montréal to assume an assistant professor position.",educated at Sciences Po
148,Q9346715,0.0,"In 2008, she enrolled as a part-time learner in Ming Chuan University.",educated at Ming Chuan University
150,Q357998,0.0,"He graduated from Madison West High School in 1992, and subsequently attended Colorado College, and the University of Wisconsin–Madison, from which he graduated with an English degree.",educated at Colorado College
153,Q8014210,0.0,"Biography
Background and education
William Shelton graduated from the United States Air Force Academy in Colorado Springs, Colorado in 1976 with a Bachelor of Science in Astronautical Engineering.",educated at United States Air Force Academy
155,Q80966,0.0,She studied economics and fine arts at the University of Melbourne but dropped out after one year to travel overseas.,educated at University of Melbourne
156,Q63880,0.0,He was Chancellor of University of Göttingen and a correspondent of Linnaeus.,educated at University of Göttingen
159,Q371910,0.0,He started his studies when he entered the Lycée Lakanal through the use of a scholarship.,educated at Lycée Lakanal
160,Q518779,0.0,He then received V-12 officer training at Bates College and served with the United States Navy from 1943 to 1946 as a submariner.,educated at Bates College
164,Q92759,0.0,"After spending the summer of 1966 in California, he then attended the University of Chicago for one term, where he first encountered computer design.",educated at University of Chicago
166,Q2736277,0.0,"He is generally credited with coining the term ""unidentified flying object"", to replace the terms ""flying saucer"" and ""flying disk"" - which had become widely known - because the military thought them to be ""misleading when applied to objects of every conceivable shape and performance.",educated at Iowa State University
294,Q17012336,0.0,"While at Otterbein University, he was cast in such plays as The Scene, The Caucasian Chalk Circle, Who's Afraid of Virginia Woolf?, and Tartuffe.",educated at Otterbein University
296,Q319741,0.0,"He studied music at the Athens Conservatoire as well as in Brussels and Berlin, with Ferruccio Busoni among his teachers.",educated at Athens Conservatoire
297,Q11147010,0.0,"214-217' He became a Christian while a student at the Anglo-Chinese College in Fuzhou, then went to  Ohio Wesleyan University, Delaware, Ohio, Columbia University, and Union Theological Seminary.",educated at Ohio Wesleyan University
298,Q11147010,0.0,"The Fuzhou Methodist Bishop James Bashford recommended Hung enroll at the Ohio Wesleyan University, where he obtained a Bachelor of Arts degree in 1917.",educated at Ohio Wesleyan University
301,Q517826,0.0,"CBE, FRSL (born 25 December 1940), is a British writer, known for her work as a journalist and biographer.",educated at Somerville College
302,Q517826,0.0,"Spurling was educated at Clifton High School, an independent school in Bristol in South West England, followed by Somerville College, Oxford.Biography of Hilary Spurling from The Guardian.",educated at Somerville College
303,Q517826,0.0,"Career
She won the Whitbread Prize for the second volume of her biography of Henri Matisse in January 2006.",educated at Somerville College
305,Q27151308,0.0,"Early Baseball career
Tanaka was selected as the Japan national baseball team for 2014 Haarlem Baseball Week and Baseball at the 2015 Summer Universiade while attending Sōka University.",educated at Sōka University
306,Q262738,0.0,She earned a master's degree from Syracuse University.,educated at Syracuse University
310,Q1334208,0.0,He returned to Scotland to attend Heriot-Watt University in Edinburgh where he graduated in 1979 with a Bachelor of Arts in modern languages.,educated at Heriot-Watt University
312,Q6862529,0.0,"In 1951, Min obtained his doctor's degree from Ohio State University in the United States.",educated at Ohio State University
314,Q115706,0.0,"Biography
Leboeuf was born at Paris, passed through the École polytechnique and the school of Metz, and distinguished himself as an artillery officer in Algerian warfare, becoming colonel in 1852.",educated at École Polytechnique
315,Q3898105,0.0,"He attended Virginia Polytechnic Institute and State University in Blacksburg, Virginia and Wake Forest University in Winston-Salem, North Carolina.",educated at Wake Forest University
316,Q6864668,0.0,"Tsai later attended Phillips Academy in Andover, Massachusetts, and then proceeded to study engineering and play varsity squash at Yale University.",educated at Phillips Academy
318,Q698464,0.0,"In 1976, Hsu got his Master of Economics degree from the Chinese Culture University and started teaching banking the next year at the same school.</ref>

In 1982, Hsu went to the United States as a Columbia University exchange scholar.",educated at Chinese Culture University
320,Q63456694,0.0,"Education 
Zhang studied at Shandong University from 2000 to 2004 and graduated with a bachelor's degree in archeology.",educated at Shandong University
322,Q192112,0.0,"In 1946, at the age of 17, Higgs moved to City of London School, where he specialised in mathematics, then in 1947 to King's College London where he graduated with a first class honours degree in Physics in 1950 and achieved a master's degree in 1952.",educated at King's College London
323,Q192112,0.0,He was awarded a PhD degree in 1954 with a thesis entitled Some problems in the theory of molecular vibrations from King's College London.,educated at King's College London
327,Q718234,0.0,"He then enlisted in the Ghana Army in 1957 and trained at the Royal Military Academy, Sandhurst, UK among others, receiving his commission in 1960.",educated at Royal Military Academy Sandhurst
329,Q8277790,0.0,"Career
The daughter of Hsiao Teng-wang, a former speaker of Chiayi City Council, Hsiao Uan-u attended college in the United States, at California State University, Northridge and the University of San Francisco.","educated at California State University, Northridge"
331,Q5534792,0.0,"Biography
His family home was in Catford, SE 6,Keble Association (1965) Keble College Address List; p. 88 and he attended St Dunstan's College, Catford, and then Keble College, Oxford.",educated at Keble College
332,Q5534792,0.0,Geoffrey Nice has been involved with the International Criminal Tribunal for the Former Yugoslavia (ICTY).,educated at Keble College
333,Q5534792,0.0,"Since working with the ICTY, Nice has been active in the International Criminal Court (ICC) and in pro bono work for victims groups.",educated at Keble College
335,Q313025,0.0,"He attended Jai Hind College, University of Mumbai, and then got an MBA from Mumbai Educational Trust.John Abraham Biography.",educated at University of Mumbai
336,Q381158,0.0,"Lochhead went to the United States in 2001 to study at the University of California, Santa Barbara.","educated at University of California, Santa Barbara"
338,Q1185942,0.0,"After graduating from Fukuoka University, he joined Japan Football League club Fujita Industries (later Bellmare Hiratsuka, Shonan Bellmare) in 1993.",educated at Fukuoka University
340,Q58662,0.0,"From 1516 to 1519 he studied at the University of Leipzig; during this time, he Latinized his name to Apianus (lat.",educated at Leipzig University
341,Q312327,0.0,"After graduating from Kanagawa University with a degree in English, Uematsu played the keyboard in several amateur bands and composed music for television commercials.",educated at Kanagawa University
343,Q7640761,0.0,"He pursued his post-secondary education at New York University, Stern school of business and Tisch school of arts, majoring in business and minoring in film studies.",educated at New York University
345,Q1532902,0.0,"Prince Hamzah received his elementary education in Jordan and Amman, and then attended Harrow School in England.",educated at Harrow School
347,Q266064,0.0,He served as Minister of State for Universities and Science from 2010 until July 2014 and became a member of the House of Lords in 2015.,educated at Christ Church
348,Q266064,0.0,"Education
thumb|right
Willetts was educated at King Edward's School, Birmingham, and Christ Church, Oxford, where he studied Philosophy, Politics and Economics.",educated at Christ Church
349,Q266064,0.0,"Aged 31, he subsequently took over the Centre for Policy Studies.",educated at Christ Church
350,Q266064,0.0,"Paul Foot wrote in the Private Eye that in a 1993 document called The Opportunities for Private Funding in the NHS, published by the Social Market Foundation and financed by private healthcare company BUPA, Willetts provided the ""intellectual thrust"" for private finance initiatives (PFIs) in the National Health Service.",educated at Christ Church
351,Q266064,0.0,"First period in government
thumb|right|Willetts' constituency office
Aged 36, Willetts entered Parliament in 1992 as the MP for Havant.",educated at Christ Church
352,Q266064,0.0,"After the 2005 election, he served as Shadow Secretary of State for Trade and Industry in the Shadow Cabinet under Michael Howard.",educated at Christ Church
353,Q266064,0.0,"In August 2005, after ruling out running for leader owing to a lack of support, commentators speculated that he was gunning for the post Shadow Chancellor of the Exchequer position and would cut a deal with either David Davis or David Cameron.",educated at Christ Church
354,Q266064,0.0,"On 15 September he confirmed his support for Davis, at that time the bookies' favourite.",educated at Christ Church
355,Q266064,0.0,"Following Cameron's win, Willetts was appointed Shadow Secretary of State for Education and Skills in Cameron's first Shadow Cabinet in December 2005, the role Cameron had vacated, and later becoming Shadow Secretary of State for Innovation, Universities and Skills.",educated at Christ Church
356,Q266064,0.0,"His title became Shadow Minister for Universities and Skills since Gordon Brown's merger of the Department for Innovation, Universities and Skills with the Department for Business, Enterprise and Regulatory Reform into the Department for Business, Innovation and Skills in June 2009.",educated at Christ Church
357,Q266064,0.0,"The Department for Education and Skills was abolished by the new Prime Minister, Gordon Brown, who established two new departments.",educated at Christ Church
358,Q266064,0.0,"On 2 July 2007, Cameron reshuffled Willetts down to the junior of the two departments: the Department for Innovation, Universities and Skills.",educated at Christ Church
359,Q266064,0.0,"Second period in government
Following the 2010 general election, Prime Minister David Cameron appointed Willetts as the Minister of State for Universities and Science.",educated at Christ Church
360,Q266064,0.0,"Feminism claim
In June 2011, Willetts said during the launch of the Government's social mobility strategy that movement between the classes had ""stagnated"" over the past 40 years, and Willetts attributed this partly to the entry of women into the workplace and universities for the lack of progress for men.",educated at Christ Church
361,Q266064,0.0,"He went on to say that ""One of the things that happened over that period was that the entirely admirable transformation of opportunities for women meant that with a lot of the expansion of education in the 1960s, 70s and 80s, the first beneficiaries were the daughters of middle-class families who had previously been excluded from educational opportunities"", he said.",educated at Christ Church
362,Q266064,0.0,"He said that ""And if you put that with what is called 'assortative mating' — that well-educated women marry well-educated men – this transformation of opportunities for women ended up magnifying social divides.",educated at Christ Church
363,Q266064,0.0,"It is delicate territory because it is not a bad thing that women had these opportunities, but it widened the gap in household incomes because you suddenly had two-earner couples, both of whom were well-educated, compared with often workless households where nobody was educated"".feminism has held back working men

Tuition fees and student loan debts
As the minister responsible for universities, Willetts was an advocate and spokesperson for the coalition government's policy of increasing the cap on tuition fees in England and Wales from £3,225 to £9,000 per year.",educated at Christ Church
364,Q266064,0.0,"In November 2013, Willetts announced the sale of student loans to Erudio Student Loans - a debt collection consortium - removing £160m from public debt but ignoring the implications for former students.Government sells £900 million in student loans to debt collection company by Simon Read, independent.co.uk, 26 November 2013.",educated at Christ Church
365,Q266064,0.0,"Brexit
Willetts is one of the signatories of a statement by senior Conservatives calling for a second referendum over Brexit.",educated at Christ Church
366,Q266064,0.0,"If we do not hear their voices, who could blame them for feeling excluded and powerless on this most vital issue.",educated at Christ Church
367,Q266064,0.0,"The truth is that if Brexit fails this generation, we risk losing young people for good.",educated at Christ Church
368,Q266064,0.0,"TheyWorkForYou additionally records that, amongst other things, Willetts was strongly in favour of the Iraq War, strongly in favour of an investigation into it, moderately against equal gay rights, and very strongly for replacing Trident.",educated at Christ Church
369,Q266064,0.0,"He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford.",educated at Christ Church
370,Q266064,0.0,"His wealth is estimated at £1.9m, and his declarations for the Register of Members' Financial Interests may viewed here.",educated at Christ Church
371,Q266064,0.0,"Honours
 He was sworn in as a member of the Privy Council of the United Kingdom in 2010, giving him the honorific title ""The Right Honourable"" and after ennoblement the post nominal letters ""PC"" for life.",educated at Christ Church
372,Q266064,0.0,"Scholastic
 University Degrees

 Location  Date  School  Degree     Christ Church, Oxford  First-class honours Bachelor of Arts (BA) in PPE 

 Chancellor, visitor, governor, and fellowships

 Location  Date  School  Position   21 October 2014  King's College London  Visiting Professor       July 2018  University of Leicester  Chancellor        Nuffield College, Oxford  Honorary Fellow    

Honorary Degrees

 Location  Date  School  Degree   21 November 2014  University of Bedfordshire  Doctor of Arts (D.Arts)     17 July 2016  University of Leicester  Doctor of Laws (LL.D.)",educated at Christ Church
374,Q432890,0.0,"in economics at the University of Warwick in 1972, and his Ph.D. in economics at Princeton University in 1974.",educated at University of Warwick
376,Q432890,0.0,"in economics at the University of Warwick in 1972, and his Ph.D. in economics at Princeton University in 1974.",educated at Princeton University
378,Q3379071,0.0,"He was educated at Barker College in the Sydney suburb of Hornsby before entering University of Sydney, after which he practised as a solicitor.",educated at University of Sydney
381,Q8264385,0.0,"She gained a master's degree in Germanic philology from the University of Lisbon in 1971, following it with a diploma in pedagogic sciences from the same institution.",educated at University of Lisbon
384,Q106275,0.0,"She studied acting at the Conservatoire National Supérieur d'Art Dramatique (CNSAD), but quit after a short time as she disliked the curriculum.",educated at Conservatoire national supérieur d'art dramatique
385,Q31630749,0.0,He went on to earn an MBA from the University of Notre Dame.,educated at University of Notre Dame
387,Q24045706,0.0,"While in MR, he competed in Gettu Betur, an Icelandic team quiz show for junior college students.",educated at St Antony's College
388,Q24045706,0.0,"In 1999, he completed an MSt degree in history from St Antony's College, at the University of Oxford.",educated at St Antony's College
389,Q24045706,0.0,Guðni decided to stand for president on 5 May 2016.,educated at St Antony's College
